                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.81933,                 0.5186,                0.98872,                0.89931,                0.86266,                0.88869,                0.51837,                 1.4451,                0.77195,                 1.3429,              0.0003566,              0.0003566,              0.0003566
                     85,                0.82768,                0.50866,                0.95726,                0.89654,                0.85408,                 0.8884,                0.52115,                 1.4343,                 0.7577,                 1.3471,              0.0003368,              0.0003368,              0.0003368
                     86,                0.83928,                0.52474,                0.96123,                0.88554,                0.86332,                0.89282,                0.50973,                 1.4426,                0.75501,                 1.3589,               0.000317,               0.000317,               0.000317
                     87,                0.76409,                0.48624,                0.93964,                0.88166,                0.88841,                0.89575,                 0.5113,                  1.442,                0.75891,                 1.3563,              0.0002972,              0.0002972,              0.0002972
                     88,                0.78582,                0.50682,                0.94901,                0.89823,                0.86695,                 0.8974,                0.52895,                 1.4076,                0.76193,                 1.3382,              0.0002774,              0.0002774,              0.0002774
                     89,                0.76418,                0.51558,                0.95187,                 0.8878,                0.87554,                0.89793,                0.54054,                 1.3983,                0.75694,                 1.3338,              0.0002576,              0.0002576,              0.0002576
                     90,                0.78407,                0.51517,                0.94415,                0.89079,                0.85837,                0.89636,                 0.5315,                 1.4337,                0.77792,                 1.3435,              0.0002378,              0.0002378,              0.0002378
                     91,                0.75557,                0.50684,                0.92442,                 0.9192,                0.83001,                 0.8958,                0.52709,                 1.4369,                0.78565,                 1.3461,               0.000218,               0.000218,               0.000218
                     92,                 0.7394,                0.47456,                0.92338,                0.91618,                0.84441,                0.89347,                0.52796,                 1.4233,                0.79724,                 1.3472,              0.0001982,              0.0001982,              0.0001982
                     93,                0.73432,                0.47581,                0.91749,                0.92528,                 0.8503,                0.90261,                0.53219,                 1.4278,                0.80056,                  1.344,              0.0001784,              0.0001784,              0.0001784
                     94,                0.73988,                0.50208,                0.94668,                0.92458,                0.84179,                0.90291,                0.53798,                 1.4064,                  0.782,                 1.3424,              0.0001586,              0.0001586,              0.0001586
                     95,                0.70766,                0.44911,                0.90384,                0.91842,                0.83262,                0.89953,                0.54109,                 1.3877,                0.76767,                 1.3366,              0.0001388,              0.0001388,              0.0001388
                     96,                  0.678,                0.44793,                0.88735,                0.91514,                0.83309,                0.90096,                0.54038,                 1.3912,                0.76835,                  1.337,               0.000119,               0.000119,               0.000119
                     97,                0.66297,                0.44265,                0.90843,                0.90678,                0.83496,                0.89591,                0.53995,                 1.4004,                0.77051,                 1.3427,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.67043,                0.45698,                0.90197,                0.90253,                0.83262,                0.89191,                 0.5371,                 1.4059,                0.76794,                 1.3438,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68805,                0.44994,                0.91356,                0.91603,                0.83262,                0.89716,                0.53937,                  1.404,                0.75986,                 1.3413,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.67128,                0.43405,                0.89487,                0.93117,                0.83262,                0.89989,                  0.536,                 1.4031,                0.76636,                 1.3388,               3.98e-05,               3.98e-05,               3.98e-05
